serial number,Company,The location of the recycling service outlet,The name of the recycling service location,address,Short_Company_Name,City
6249,"SAIC Maxus Automotive Co., Ltd","Zhengzhou City, Henan Province","Zhengzhou Haiyitong Automobile Sales Co., Ltd","20 meters northwest of the intersection of Fifth Avenue and Jingbei <>th Road in Zhengdong New District, Zhengzhou, Henan Province",SAIC Maxus Automotive,Zhengzhou
6250,"SAIC Maxus Automotive Co., Ltd","Pingdingshan City, Henan Province","Pingdingshan Baolida Automobile Sales and Service Co., Ltd",Henan Province Pingdingshan High-tech Zone Construction Road and Development Road intersection 50 meters west of the road south of SAIC Da...,SAIC Maxus Automotive,Pingdingshan
6251,"SAIC Maxus Automotive Co., Ltd","Xinxiang City, Henan Province","Xinxiang Tianyuan Automobile Trading Co., Ltd","South Bus Station of South Ring Road, Weibin District, Xinxiang City, Henan Province, 800 meters west of the road south Dongfeng Peugeot backyard",SAIC Maxus Automotive,Xinxiang
6252,"SAIC Maxus Automotive Co., Ltd","Nanyang City, Henan Province","Nanyang Qingjie Automobile Maintenance Co., Ltd","The intersection of Dushan Avenue and Xinchen Road in Nanyang City, Henan Province is 500 meters east of the road south",SAIC Maxus Automotive,Nanyang
6253,"SAIC Maxus Automotive Co., Ltd","Wuhan City, Hubei Province","Hubei Tianyuan Qingling Automobile Sales and Service Co., Ltd","No. 399, Pengjialing, Yongfeng Township, Hanyang District, Wuhan City, Hubei Province (in the Golden Mouth Auto Market)",SAIC Maxus Automotive,Wuhan
6254,"SAIC Maxus Automotive Co., Ltd","Yichang City, Hubei Province","Yichang Haoxiang Automobile Sales and Service Co., Ltd","No. 91, Development Avenue, Yichang Development Zone, Hubei Province",SAIC Maxus Automotive,Yichang
6255,"SAIC Maxus Automotive Co., Ltd","Changsha City, Hunan Province","Hunan Shenzhong Automobile Sales Co., Ltd","No. 2, Panpan Road, Xingsha Development Zone, Changsha City, Hunan Province",SAIC Maxus Automotive,Changsha
6256,"SAIC Maxus Automotive Co., Ltd","Guangzhou City, Guangdong Province","Guangdong Huizhong Automobile Sales and Service Co., Ltd","No. 725, Huangshi East Road, Baiyun District, Guangzhou",SAIC Maxus Automotive,Guangzhou
6257,"SAIC Maxus Automotive Co., Ltd","Guangzhou City, Guangdong Province","Guangzhou Tongyu Automobile Co., Ltd","No. 198, Helong <>th Road, Renhe Town, Baiyun District, Guangzhou",SAIC Maxus Automotive,Guangzhou
6258,"SAIC Maxus Automotive Co., Ltd","Guangzhou City, Guangdong Province","Guangdong Guangwu Yingtong Commercial Vehicle Sales and Service Co., Ltd","No. 989 Maogang Road, Guangben Road Junction, Guangyuan East Road, Guangzhou (west of Huangpu Vehicle Management Office)",SAIC Maxus Automotive,Guangzhou
6259,"SAIC Maxus Automotive Co., Ltd","Shenzhen City, Guangdong Province","Shenzhen Picture Cang Investment Development Co., Ltd","No. 32-36, Huaide South Road, Fuyong Town, Bao'an District, Shenzhen, Guangdong Province",SAIC Maxus Automotive,Shenzhen
6260,"SAIC Maxus Automotive Co., Ltd","Shenzhen City, Guangdong Province","Shenzhen Shenzhen SHIMD Car Rental Co., Ltd","The first floor of Li & Fung Building, No. 18 Kaifeng Road, Shangmeilin, Futian District, Shenzhen, Guangdong Province",SAIC Maxus Automotive,Shenzhen
6261,"SAIC Maxus Automotive Co., Ltd","Shenzhen City, Guangdong Province","Shenzhen Longtong Automobile Service Co., Ltd","Block A, Building 144, Best Auto City, No. 3 Botanical Garden Road, Longgang District, Shenzhen, Guangdong Province",SAIC Maxus Automotive,Shenzhen
6262,"SAIC Maxus Automotive Co., Ltd","Zhuhai City, Guangdong Province","Zhuhai Nanshang Automobile Co., Ltd","The first floor of the South Building, No. 97 Huayu Road, Xiangzhou District, Zhuhai City, Guangdong Province",SAIC Maxus Automotive,Zhuhai
6263,"SAIC Maxus Automotive Co., Ltd","Foshan City, Guangdong Province","Foshan Fojian Automobile Service Co., Ltd","Zhangcha 2nd Road/Fokai Expressway, Chancheng District, Foshan City, Guangdong Province (intersection)",SAIC Maxus Automotive,Foshan
6264,"SAIC Maxus Automotive Co., Ltd","Foshan City, Guangdong Province","Foshan Yutong Automobile Sales Co., Ltd","No. 18, East <>nd Road, Caobian Industrial Zone, Caobian Industrial Zone, Nanhai District, Foshan City, Guangdong Province",SAIC Maxus Automotive,Foshan
6265,"SAIC Maxus Automotive Co., Ltd","Huizhou City, Guangdong Province","Huizhou Kunlong Automobile Sales and Service Co., Ltd","On the side of the third ring road in Jiangbei West District, Huizhou City, Guangdong Province",SAIC Maxus Automotive,Huizhou
6266,"SAIC Maxus Automotive Co., Ltd","Dongguan City, Guangdong Province","Dongguan Huikang Automobile Sales and Service Co., Ltd","Tanglian section, Wanzhang Road, Liaobu Town, Dongguan City, Guangdong Province",SAIC Maxus Automotive,Dongguan
6267,"SAIC Maxus Automotive Co., Ltd","Dongguan City, Guangdong Province","Dongguan Jetton Trading Co., Ltd","No. 231, Xinji Road, Guantai Road, Nancheng District, Dongguan City, Guangdong Province (opposite Hongyuan Flea Market)",SAIC Maxus Automotive,Dongguan
6268,"SAIC Maxus Automotive Co., Ltd","Jieyang City, Guangdong Province","Jieyang Haide Automobile Trading Co., Ltd","The junction of Dongshan No. 8 Street and No. 1 Road, Rongcheng District, Jieyang City, Guangdong Province",SAIC Maxus Automotive,Jieyang
6269,"SAIC Maxus Automotive Co., Ltd","Nanning City, Guangxi Zhuang Autonomous Region","Guangxi Nanning Kangcheng Automobile Service Co., Ltd","No. 5-8, Wuyi Middle Road, Nanning, Guangxi",SAIC Maxus Automotive,Nanning
6270,"SAIC Maxus Automotive Co., Ltd","Haikou City, Hainan Province","Hainan Qbotong Automobile Sales Co., Ltd","No. 289-9, Qiongshan Avenue, Meilan District, Haikou City, Hainan Province",SAIC Maxus Automotive,Haikou
6271,"SAIC Maxus Automotive Co., Ltd","Yubei District, Chongqing","Chongqing Guanhong Automobile Sales and Service Co., Ltd",Chongqing Liangjiang New Area Jinyu Avenue No. 102 with No. 3 Yubei Logistics Center,SAIC Maxus Automotive,Chongqing
6272,"SAIC Maxus Automotive Co., Ltd","Wanzhou District, Chongqing","Chongqing Ouguan Rongtong Automobile Sales and Service Co., Ltd","The first floor of Xinguang Famous Car Plaza, No. 1699, Section <>, Sharon Road, Wanzhou District, Chongqing",SAIC Maxus Automotive,Chongqing
6273,"SAIC Maxus Automotive Co., Ltd","Jiulongpo District, Chongqing","Chongqing Jiefeng Automobile Sales and Service Co., Ltd","Next to the intersection of Shiqiao Puerlang Road, Jiulongpo District, Chongqing, next to the China Automobile Southwest Auto Supermarket",SAIC Maxus Automotive,Chongqing
6274,"SAIC Maxus Automotive Co., Ltd","Chengdu, Sichuan Province","Chengdu Wanji Automobile Industry Co., Ltd","No. 7, Changyi Road, Jiuxing Avenue, Wuhou District, Chengdu, Sichuan Province",SAIC Maxus Automotive,Chengdu
6275,"SAIC Maxus Automotive Co., Ltd","Chengdu, Sichuan Province","Chengdu Jinhuafeng Automobile Maintenance Technology Co., Ltd","No. 1, No. 1, Cuijiadian North 2nd Road, Chenghua District, Chengdu, Sichuan Province",SAIC Maxus Automotive,Chengdu
6276,"SAIC Maxus Automotive Co., Ltd","Guiyang City, Guizhou Province","Guizhou Xingxintian Qingda Automobile Sales and Service Co., Ltd","Guiyang Mengguan Auto Trade City, Guizhou Province (no house number)",SAIC Maxus Automotive,Guiyang
6277,"SAIC Maxus Automotive Co., Ltd","Kunming City, Yunnan Province","Yunnan Tongrui Automobile Sales and Service Co., Ltd","Kunming Kaixuan Road Automobile Market, No. 637-639 Second Ring South Road, Kunming City, Yunnan Province",SAIC Maxus Automotive,Kunming
6278,"SAIC Maxus Automotive Co., Ltd","Kunming City, Yunnan Province","Kunming Xiongjin Automobile Maintenance Service Co., Ltd","Kunming City, Yunnan Province, next to the Guojiawu Farmers Market in Qingyun Street Office, Siwa Road",SAIC Maxus Automotive,Kunming
6279,"SAIC Maxus Automotive Co., Ltd","Xi'an, Shaanxi Province","Xi'an Yinqiao Automobile Sales and Trading Co., Ltd. Maintenance Branch","East of the middle section of Mingguang Road, Economic and Technological Development Zone, Xi'an, Shaanxi Province",SAIC Maxus Automotive,Xi'an
6280,"SAIC Maxus Automotive Co., Ltd","Yinchuan City, Ningxia Hui Autonomous Region","Yinchuan Ares Automobile Service Co., Ltd","No. 21, Area C, Greenland 14, Xingqing District, Yinchuan City, Ningxia Province",SAIC Maxus Automotive,Yinchuan
6281,"SAIC Maxus Automotive Co., Ltd","Hengshui City, Hebei Province",Wanda Auto Repair Factory in Hengshui Development Zone,"No. 2699, Yongxing West Road, Hengshui City, Hebei Province",SAIC Maxus Automotive,Hengshui
6282,"SAIC Maxus Automotive Co., Ltd","Ganzi Tibetan Autonomous Prefecture, Sichuan Province",Luding County South Auto Repair Plant,"Warrior Road, Luqiao Town, Luding County, Kardze Prefecture, Sichuan Province",SAIC Maxus Automotive,Garze Tibetan Autonomous Prefecture
6283,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Chaoyang District, Beijing","Beijing Zhuyuan Zhengtong Automobile Sales and Service Co., Ltd","No. 68 Shijingshan Road, Shijingshan District, Beijing",Xiamen Golden Dragon,Beijing
6284,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Tongzhou District, Beijing",Beijing Dongyun Auto Repair Factory,"No. 145, Xiaoshengmiao Village, Yongshun Town, Tongzhou District, Beijing",Xiamen Golden Dragon,Beijing
6285,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shunyi District, Beijing","Beijing Yongjia Ouhua Automotive Service Co., Ltd",Shunyi District Houshayu Area Dead Willow West (No. 2 West Dry Willow Village),Xiamen Golden Dragon,Beijing
6286,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shunyi District, Beijing","Beijing Golden Oriental Automobile Service Co., Ltd","100 meters west of Nancai Village Committee, Nancai Town, Shunyi District, Beijing",Xiamen Golden Dragon,Beijing
6287,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Daxing District, Beijing","Beijing Xingye Huge Automobile Repair Co., Ltd","No. 1 Courtyard of Xinzhuang was built at the southeast corner of Zhiyuan West Bridge, Daxing District, Beijing",Xiamen Golden Dragon,Beijing
6288,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jinnan District, Tianjin","Tianjin Huanhai Huilong Automobile Service Co., Ltd","No. 12, Jintai Road, Dasi Industrial Park, Dasi Town, Xiqing Economic Development Zone, Tianjin",Xiamen Golden Dragon,Tianjin
6289,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Dongli District, Tianjin","Tianjin Jinjie Shenglong Automobile Maintenance Co., Ltd","No. 5, Wujing Road, Dongli District Development Zone, Tianjin",Xiamen Golden Dragon,Tianjin
6290,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Beichen District, Tianjin","Tianjin Gangxing Automobile Maintenance Service Co., Ltd",Tianjin Beichen District Yixingbu Town Wanda Tire Factory Nangangxing Comprehensive Trade City B1-5,Xiamen Golden Dragon,Tianjin
6291,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shijiazhuang City, Hebei Province","Shijiazhuang Zhenhui Auto Repair Co., Ltd","No. 170, Gucheng East Road, North Outer Ring Road, Chang'an District, Shijiazhuang",Xiamen Golden Dragon,Shijiazhuang
6292,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shijiazhuang City, Hebei Province","Shijiazhuang Transportation Group Co., Ltd. First Automobile Overhaul Plant","No. 575, Heping West Road, Xinhua District, Shijiazhuang City",Xiamen Golden Dragon,Shijiazhuang
6293,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Tangshan City, Hebei Province","Tangshan Taifa Automobile Maintenance Co., Ltd","East of Jinlihai Gas Station, Jianhua East Road, Lubei District, Tangshan City, Hebei Province (Taifa Auto Repair)",Xiamen Golden Dragon,Tangshan
6294,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Tangshan City, Hebei Province","Tangshan Hongyun Automobile Service Co., Ltd","No. 4, Jianhua East Road, Lubei District, Tangshan City",Xiamen Golden Dragon,Tangshan
6295,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Qinhuangdao City, Hebei Province","Qinhuangdao Longteng Long Passenger Transport Co., Ltd. automobile overhaul plant","No. 405, North Ring Road, Haigang District, Qinhuangdao City",Xiamen Golden Dragon,Qinhuangdao
6296,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Qinhuangdao City, Hebei Province","Qinhuangdao Weiheng Automobile Maintenance Co., Ltd","No. 124, West Section of North Second Ring Road, North Industrial Zone, Haigang District, Qinhuangdao City",Xiamen Golden Dragon,Qinhuangdao
6297,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Handan City, Hebei Province","Hebei Wanhe Automobile Trading Co., Ltd","198 Handan Magnetic Road, Handan City",Xiamen Golden Dragon,Handan
6298,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Xingtai City, Hebei Province","Xingtai Automobile Modification Industry Co., Ltd","No. 1A, East Outer Ring Road, Xingtai City",Xiamen Golden Dragon,Xingtai
6299,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Xingtai City, Hebei Province","Xingtai Yurui Auto Repair Co., Ltd",Xingtai City Qiaodong District Longgang East Street Huangling Group eastbound 200 hundred meters north,Xiamen Golden Dragon,Xingtai
6300,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Baoding City, Hebei Province","Baoding Jianqiang Automobile Repair Co., Ltd","No. 1452, Changcheng South Street, Lianchi District, Baoding City",Xiamen Golden Dragon,Baoding
6301,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Baoding City, Hebei Province","Auto repair branch of Hebei Baoding Transportation Group Co., Ltd","No. 2753, South Second Ring Road, Baoding City, Hebei Province",Xiamen Golden Dragon,Baoding
6302,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Zhangjiakou City, Hebei Province",Zhangjiakou Bus Repair General Factory,"No. 3, Yubaodun, High-tech Zone, Zhangjiakou City, Hebei Province",Xiamen Golden Dragon,Zhangjiakou
6303,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Zhangjiakou City, Hebei Province","Zhangjiakou Xiangrong Weiye Auto Repair Co., Ltd","No. 2, Heyan Street, Xuanhua District, Zhangjiakou City",Xiamen Golden Dragon,Zhangjiakou
6304,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Chengde City, Hebei Province","Chengde Qiangshi Automobile Repair Co., Ltd","Laoxiying Village, Shuangfeng Temple Town, Shuangqiao District, Chengde City, Hebei Province",Xiamen Golden Dragon,Chengde
6305,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Cangzhou City, Hebei Province","Cangzhou Yunfa Automobile Sales and Service Co., Ltd","No. 57, Lunan Avenue, Mayor of Cangzhou, Hebei",Xiamen Golden Dragon,Cangzhou
6306,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Cangzhou City, Hebei Province","Cangzhou Tongshun Automobile Maintenance Service Sales Co., Ltd","South of Lujiayuan Village, Jiefang East Road, Xinhua District, Cangzhou City, Hebei Province",Xiamen Golden Dragon,Cangzhou
6307,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Cangzhou City, Hebei Province","Renqiu Nanyu Bus Repair Co., Ltd","No. 65, Yanshan North Road, Renqiu City",Xiamen Golden Dragon,Cangzhou
6308,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Cangzhou City, Hebei Province","Huanghua Jinlian Automobile Technical Service Co., Ltd","Economic and Technological Development Zone, Huanghua City, Hebei Province",Xiamen Golden Dragon,Cangzhou
6309,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Langfang City, Hebei Province","Langfang Public Transport Group Co., Ltd","No. 99, Building 1, No. 11403, Qingguo Road, Science and Technology Valley Park, Langfang Development Zone, Hebei Province",Xiamen Golden Dragon,Langfang
6310,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Langfang City, Hebei Province","Langfang Debao Automobile Service Co., Ltd","West of Xibai Village Yuren School, Langfang Economic and Technological Development Zone, Hebei Province",Xiamen Golden Dragon,Langfang
6311,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Langfang City, Hebei Province","Langfang Tianchi Automobile Trading Co., Ltd. auto repair factory","Tianchi Auto Repair Factory in the middle section of Langwan Road, Guangyang District, Langfang City",Xiamen Golden Dragon,Langfang
6312,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Hengshui City, Hebei Province",The third transportation company of Hebei Hengshui Transportation Group,"No. 1388, Renmin East Road, Taocheng District, Hengshui City",Xiamen Golden Dragon,Hengshui
6313,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Taiyuan City, Shanxi Province","Taiyuan Xinkai Zhida Automobile Maintenance Co., Ltd","No. 13, West Lane <>, Pingyang Road, Xiaodian District, Taiyuan City",Xiamen Golden Dragon,Taiyuan
6314,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Taiyuan City, Shanxi Province","Shanxi Daquan Material Equipment Co., Ltd","No. 18, Row 1, No. 1, Changfeng West Street, Wanbailin District, Taiyuan City, Shanxi Province",Xiamen Golden Dragon,Taiyuan
6315,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Taiyuan City, Shanxi Province","Shanxi Jetai Automobile Trading Co., Ltd","No. 50, Taiyu Road, Yingze District, Taiyuan City",Xiamen Golden Dragon,Taiyuan
6316,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Datong City, Shanxi Province","Datong Lingxi Xinhuaxia Automobile Chain Sales Co., Ltd",East of Daqing Road Vehicle Management Office in Datong City,Xiamen Golden Dragon,Datong
6317,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Datong City, Shanxi Province",Datong Yanyun Automobile Repair Company Limited Liability Company,"No. 1039, North Ring Road, Pingcheng District, Datong City, Shanxi Province",Xiamen Golden Dragon,Datong
6318,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yangquan City, Shanxi Province","Yangquan Chaofan Automobile Sales and Service Co., Ltd","No. 25, Yiping Road, a suburb of Yangquan City, Shanxi Province",Xiamen Golden Dragon,Yangquan
6319,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Changzhi City, Shanxi Province","Shanxi Automobile Transport Group Changzhi Automobile Transport Co., Ltd. warranty factory",Changzhi East Passenger Transport Station is 500 meters north of the road west,Xiamen Golden Dragon,Changzhi
6320,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jincheng, Shanxi Province","Shanxi Automobile Transport Group Jincheng Automobile Transport Co., Ltd. auto repair plant","No. 492, North Yuan, Jincheng City, Shanxi Province",Xiamen Golden Dragon,Jincheng
6321,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shuozhou City, Shanxi Province","Shuozhou Hailong Auto Repair Co., Ltd","Shop No. 2, Building 26, Area B, Auto Parts City, Shuozhou Development Zone",Xiamen Golden Dragon,Shuozhou
6322,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jinzhong City, Shanxi Province","Jinzhong Development Zone Jirun He Auto Repair Service Co., Ltd",Jinzhong Development Zone Private Science and Technology Park (Mingli Section on the East Side of National Highway 108),Xiamen Golden Dragon,Jinzhong
6323,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jinzhong City, Shanxi Province","Shanxi Xiangrong Automobile Service Co., Ltd","East exit of the South Outer Ring Road, Jiexiu City, Jinzhong City, Shanxi Province (Shihe Village Section)",Xiamen Golden Dragon,Jinzhong
6324,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yuncheng, Shanxi Province","Yuncheng Jinyun Yongsheng Automobile Maintenance Service Co., Ltd","No. 178, Gongnong West Street, Yuncheng City, Shanxi",Xiamen Golden Dragon,Yuncheng
6325,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Xinzhou City, Shanxi Province","Shanxi Automobile Transport Group Xinzhou Automobile Transport Co., Ltd. warranty factory",Shanxi Province Dayun Road Xinzhou Expressway exit roundabout 30 meters to the south,Xiamen Golden Dragon,Xinzhou
6326,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Linfen City, Shanxi Province","Shanxi Automobile Transport Group Linfen Automobile Transport Co., Ltd. bus repair plant","Inside the long-distance bus station on Bingzhan Road, Yaodu District, Linfen City",Xiamen Golden Dragon,Linfen
6327,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Linfen City, Shanxi Province","Houma Sanhuang Automobile Sales and Service Co., Ltd",Shanxi Province Houma City West Bus Station South Courtyard Bus Maintenance Center,Xiamen Golden Dragon,Linfen
6328,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Lüliang City, Shanxi Province","Lv Liang Shunda Automobile Trading Co., Ltd","Qiaojiata Village, Jiaokou Street, Liishi District",Xiamen Golden Dragon,Lüliang
6329,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Hohhot City, Inner Mongolia Autonomous Region","Inner Mongolia Chengqisheng Auto Maintenance Co., Ltd","In the Ziwei Automobile Park of the South Second Ring Road, Yuquan District, Hohhot City, Inner Mongolia",Xiamen Golden Dragon,Hohhot
6330,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Hohhot City, Inner Mongolia Autonomous Region","Hohhot Longboutou Automobile Sales and Service Co., Ltd","Dongwu Sutu Village, Qiuban Town, Huimin District, Hohhot City, Inner Mongolia Autonomous Region",Xiamen Golden Dragon,Hohhot
6331,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Baotou City, Inner Mongolia Autonomous Region",Baotou Motor Vehicle Testing Scientific Research Station,"No. 2, Qinggong South Road, the fourth functional community of Baotou City Development Zone",Xiamen Golden Dragon,Baotou
6332,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Wuhai City, Inner Mongolia Autonomous Region","Wuhai City Bus Service Group Co., Ltd. auto repair shop",Wuhai Haibowan District Shuangyong Street No. 1 bus company courtyard,Xiamen Golden Dragon,Wuhai
6333,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Chifeng City, Inner Mongolia Autonomous Region","Chifeng Shenma Commercial Vehicle Trading Co., Ltd","56 Road, Songshan Street, Songshan District, Chifeng City, Inner Mongolia Autonomous Region",Xiamen Golden Dragon,Chifeng
6334,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Tongliao City, Inner Mongolia Autonomous Region","Tongliao Transportation Co., Ltd. China FAW Group Tongliao Service Station","No. 1196, Neitonggu Tongliao Minhang Road",Xiamen Golden Dragon,Tongliao
6335,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Ordos City, Inner Mongolia Autonomous Region","Ordos Changyun Car Service Co., Ltd","No. 1, Tiexi Square Street, Dongsheng District, Ordos City, Inner Mongolia Autonomous Region",Xiamen Golden Dragon,Ordos
6336,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Hulunbuir City, Inner Mongolia Autonomous Region","Manzhouli Mingda Trading Co., Ltd","Six households in the south building of Yinpan Street, Manzhouli City, Inner Mongolia",Xiamen Golden Dragon,Hulunbuir
6337,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Bayannur City, Inner Mongolia Autonomous Region","Inner Mongolia Bayun Automobile Transport Co., Ltd. Automobile Trading Branch","Bayannur City, Inner Mongolia Autonomous Region, Linhe District, Linshan Road Bayun Logistics Park",Xiamen Golden Dragon,Bayannur
6338,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Xilin Gol League, Inner Mongolia Autonomous Region","Xilin Gol Meng Jutong Trading Co., Ltd","Two kilometers north of Shengli Sumu in Xilinhot City, Inner Mongolia",Xiamen Golden Dragon,Xilingol
6339,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shenyang, Liaoning Province","Shenyang Shengjing Auto Repair Co., Ltd","2A Fangjialan Road, Dongling District, Shenyang City",Xiamen Golden Dragon,Shenyang
6340,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shenyang, Liaoning Province","Shenyang AXA Auto Repair Co., Ltd","No. 83, Shenxin Road, Shenyang Economic and Technological Development Zone",Xiamen Golden Dragon,Shenyang
6341,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Shenyang, Liaoning Province","Shenyang Qizhi Automobile Maintenance Co., Ltd","No. 8-20, Qianshan West Road, Yuhong District, Shenyang",Xiamen Golden Dragon,Shenyang
6342,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Dalian City, Liaoning Province",Dalian Starlight Automobile Assembly Repair Shop,"In front of Zhoushuizi Airport, Ganjingzi District, Dalian City",Xiamen Golden Dragon,Dalian
6343,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Anshan City, Liaoning Province","Anshan Longteng Automobile Maintenance Co., Ltd","No. 1506, Jianshe Avenue, Tiexi District, Anshan City",Xiamen Golden Dragon,Anshan
6344,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Anshan City, Liaoning Province","Anshan Yiao Automobile Service Co., Ltd","No. 1, Section 1, Anhai Road, Qianshan District, Anshan City",Xiamen Golden Dragon,Anshan
6345,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Benxi City, Liaoning Province","Benxi Home Credit Auto Maintenance Service Co., Ltd","No. 2-1-1, Group 16, Mineral Street, Caibei Street Office, Xihu District, Benxi City, Liaoning Province",Xiamen Golden Dragon,Benxi
6346,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Dandong City, Liaoning Province","Liaoning Huyue (Dandong) Passenger Transport Co., Ltd","No. 1, Ba Dao East Road, Yuanbao District, Dandong City",Xiamen Golden Dragon,Dandong
6347,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Dandong City, Liaoning Province","Dandong Huanghai Automobile Overhaul Factory Co., Ltd","No. 4, Huanghai Street, Zhenxing District, Dandong City, Liaoning Province",Xiamen Golden Dragon,Dandong
6348,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Jinzhou City, Liaoning Province","Liaoning Huyue (Jinzhou) Long-distance Bus Transport Co., Ltd","No. 2, Shiying Street, Guta District, Jinzhou City",Xiamen Golden Dragon,Jinzhou
6349,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Yingkou City, Liaoning Province","Yingkou Transportation Group (Liaonan) Auto Trade Service Co., Ltd","No. 23, Jinniushan Street, Zhanqian District, Yingkou City",Xiamen Golden Dragon,Yingkou
6350,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Liaoyang City, Liaoning Province","Liaoyang City Bus Co., Ltd. overhaul plant","Overhaul plant of bus company, No. 22 Heping Road, Baita District, Liaoyang City, Liaoning Province",Xiamen Golden Dragon,Liaoyang
6351,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Panjin City, Liaoning Province","Panjin Tianfeng Automobile Service Co., Ltd","East of Chen Tun Village, Xinghai Street, Xinglongtai District, Panjin City",Xiamen Golden Dragon,Panjin
6352,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Panjin City, Liaoning Province","Panjin Boyue Automobile Service Co., Ltd","South of Changhu North Street, Changhu North Street, Bohai Street, Xinglongtai District, Panjin City, Liaoning Province",Xiamen Golden Dragon,Panjin
6353,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Tieling City, Liaoning Province","Kaiyuan Hua Wei Automobile Sales and Service Co., Ltd","Shidong Village, Xincheng Street, Kaiyuan City, Tieling City, Liaoning Province",Xiamen Golden Dragon,Tieling
6354,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Huludao City, Liaoning Province","Huludao Xinghu Automobile Maintenance Co., Ltd",Huludao City Longgang District Longcheng Street 72-14 City Long-distance Bus Terminal courtyard,Xiamen Golden Dragon,Huludao
6355,"Xiamen Golden Dragon United Automobile Industry Co., Ltd","Changchun City, Jilin Province","Changchun Pengan Automobile Sales and Service Co., Ltd",Changchun Automobile Economic and Technological Development Zone Changshen Road No. 4955 Kaida Industrial Park Area A Plant 23...,Xiamen Golden Dragon,Changchun
